Location,Type,Number
"52.3119441, 4.9541842",,
"(52.3120541, 4.9548548)",,
"(52.3122536, 4.9547096)",,3
"(52.3121986, 4.9547827)",,
"(52.3120673, 4.9549959)",,
"(52.3120461, 4.9548199)",,2
"(52.3121007, 4.9547710)",cup,
"(52.3120994, 4.9546694)",bottle,
"(52.3121443, 4.9545627)",,
"(52.3122181, 4.9546660)",,
"(52.3123161, 4.9546147)",cigarette pack,
"(52.3122642, 4.9551870)",,
"(52.3122589, 4.9554854)",,
"(52.3123399, 4.9552256)",,3
"(52.3122827, 4.9549859)",,
"(52.3120703, 4.9548554)",,4
"(52.3120008, 4.9547257)",,5
"(52.3119896, 4.9544461)",,
"(52.3120722, 4.9546881)",,3
"(52.3121158, 4.9544819)",,
"(52.3119476, 4.9538570)",,
"(52.3120174, 4.9544390)",,
"(52.3120767, 4.9543951)",,
"(52.3121117, 4.9542325)",cigarette pack,
"(52.3120636, 4.9543056)",,
"(52.3119713, 4.9542771)",,
"(52.3120375, 4.9540843)",,
"(52.3121249, 4.9540545)",,
"(52.3121388, 4.9541326)",,
"(52.3119722, 4.9537973)",,
"(52.3117823, 4.9538835)",,
"(52.3120966, 4.9538697)",,
"(52.3120982, 4.9538292)",,
"(52.3120580, 4.9537299)",,3
"(52.3117641, 4.9534466)",,
"(52.3121050, 4.9537913)",,
"(52.3121451, 4.9547931)",Cans,
"(52.3123610, 4.9545547)",Cans,
"(52.3121220, 4.9537695)",Cans,
